"code","term","type","rate"
"AAPL","month","flat rate",420
"AMZN","quarter","flat rate",800
"BIZ","biz","biz",0.01
"BRK/A","month","hourly",100
"BRK/B","month","flat rate",330
"CVX","quarter","flat rate",850
"GOOG","quarter","hourly",120
"HD","month","hourly",90
"JNJ","month","flat rate",380
"JPM","month","flat rate",350
"MA","quarter","flat rate",700
"META","quarter","flat rate",780
"MSFT","quarter","flat rate",820
"NVDA","month","hourly",120
"NVO","month","flat rate",350
"PFE","month","flat rate",400
"PG","month","hourly",100
"TSLA","quarter","hourly",90
"TSM","quarter","flat rate",680
"UNH","quarter","flat rate",750
"WMT","month","hourly",90
"XOM","month","flat rate",420
