morn_p,aftn_p,even_p
0.00195599,0.002481389,0.004678411
0.00391198,0.004962779,0.009356824
0.018581907,0.023573201,0.044444913
0.022493888,0.028535981,0.053801739
0.032273839,0.040942928,0.077193796
0.028361858,0.035980148,0.067836971
0.025427873,0.032258064,0.060819354
0.031295844,0.039702234,0.074854592
0.018581907,0.023573201,0.0444449
0.028361858,0.035980148,0.067836461
0.023471883,0.029776675,0.05614
0.027872861,0.035359802,0.06666734
0.025427873,0.032258064,0.0608192
0.019559902,0.024813895,0.046784
0.036674817,0.046526055,0.08772
0.016625917,0.021091811,0.03976
0.018581907,0.023573201,0.044444
0.021026895,0.026674938,0.050292
0.017603912,0.022332506,0.0421055
0.019070905,0.024193549,0
0.015647922,0.019851117,0
0.0200489,0.025434243,0
0.008312958,0.010545905,0
0.013691932,0.017369728,0
0.014669927,0.018610422,0
0.014180929,0.017990074,0
0.01809291,0.022952854,0
0.013202934,0.01674938,0
0.013202934,0.01674938,0
0.017114914,0.021712158,0
0.012224939,0.015508685,0
0.007823961,0.009925558,0
0.005867971,0.007444169,0
0.007823961,0.009925558,0
0.007334963,0.00930521,0
0.008312958,0.010545905,0
0.008801956,0.011166253,0
0.007823961,0.009925558,0
0.005867971,0.007444169,0
0.012713936,0.016129032,0
0.010268949,0.013027296,0
0.007823961,0.009925558,0
0.008801956,0.011166253,0
0.005867971,0.007444169,0
0.009779951,0.012406948,0
0.005867971,0.007444169,0
0.004889976,0.006203474,0
0.005378973,0.006823821,0
0.006356968,0.008064516,0
0.007823961,0.009925558,0
0.004400978,0.005583127,0
0.003422983,0.004342432,0
0.004400978,0.005583127,0
0.005378973,0.006823821,0
0.005867971,0.007444169,0
0.008312958,0.010545905,0
0.004400978,0.005583127,0
0.004889976,0.006203475,0
0.004400978,0.005583127,0
0.008312958,0,0
0.007823961,0,0
0.004400978,0,0
0.006845966,0,0
0.006845966,0,0
0.005378973,0,0
0.002933985,0,0
0.002933985,0,0
0.00391198,0,0
0.006356968,0,0
0.00391198,0,0
0.003422983,0,0
0.003422983,0,0
0.005378973,0,0
0.002444988,0,0
0.005867971,0,0
0.002444988,0,0
0.00195599,0,0
0.002933985,0,0
0.002444988,0,0
0.002444988,0,0
0.003422983,0,0
0.00391198,0,0
0.003422983,0,0
0.001466993,0,0
0.000977995,0,0
0.002444988,0,0
0.001466993,0,0
0.002933985,0,0
0.003422983,0,0
0.002933985,0,0
0.00195599,0,0
0.000977995,0,0
0.002933985,0,0
0.003422983,0,0
0.004889976,0,0
0.003422983,0,0
0.000488998,0,0
0.000977995,0,0
0.00195599,0,0
0.004400978,0,0
0.002933985,0,0
0.001466993,0,0
0.002444988,0,0
0.003422983,0,0
0.00195599,0,0
0.000488998,0,0
0.00195599,0,0
0.001466993,0,0
0.000488998,0,0
0.002933985,0,0
0.000488998,0,0
0.001466993,0,0
0.000488998,0,0
0.001466993,0,0
0.001466993,0,0
0.001466993,0,0
0.000977995,0,0
0.000488998,0,0
0.000488998,0,0
0.000977995,0,0
0.000977995,0,0
0,0,0
0.000977995,0,0
0,0,0
0.000488998,0,0
0.003422983,0,0
0.000488998,0,0
0.001466993,0,0
0.000977995,0,0
0,0,0
0.000977995,0,0
0.000977995,0,0
0.000488998,0,0
0.000488998,0,0
0,0,0
0.001466993,0,0
0.000488998,0,0
0,0,0
0.000977995,0,0
0,0,0
0.000488998,0,0
0,0,0
0.000977995,0,0
0.000488998,0,0
0,0,0
0.000488998,0,0
0.000977995,0,0
0,0,0
0.000488998,0,0
0.000977995,0,0
0,0,0
0.000488998,0,0
0.002444988,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.000977995,0,0
0,0,0
0.000488998,0,0
0,0,0
0,0,0
0.000488998,0,0
0.000488998,0,0
0.000488998,0,0
0.000488998,0,0
0.000977995,0,0
0,0,0
0.000977995,0,0
0,0,0
0.000488998,0,0
0.000488998,0,0
0,0,0
0,0,0
0,0,0
0.000488998,0,0
0.000977995,0,0
0,0,0
0.000488998,0,0
0,0,0
0,0,0
0.000977995,0,0
0,0,0
0,0,0
0,0,0
0.000488998,0,0
0,0,0
0,0,0
0,0,0
0.000488998,0,0
0.000977995,0,0
0,0,0
0.000488998,0,0
0,0,0
0.000488998,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.000422983,0,0
0,0,0
0.0005,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.0005,0,0
0,0,0
0,0,0
0.0005,0,0
0.0005,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.0005,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.00049998,0,0
